Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
National,2014-01-01,199000.0,-0.052000000000000005,0.114,305198.0,-0.257,-0.026000000000000002,477219.0,0.549,-0.027000000000000003,1726821.0,0.01,0.019,75,7,-4,0.968,-0.002,0.0
National,2014-02-01,201000.0,0.006999999999999999,0.11199999999999999,312799.0,0.025,-0.034,493675.0,0.034,-0.027000000000000003,1761999.0,0.02,0.019,78,3,-1,0.97,0.002,0.0
National,2014-03-01,209000.0,0.04,0.086,394649.0,0.262,-0.065,644927.0,0.306,0.057999999999999996,1834048.0,0.040999999999999995,0.035,71,-7,0,0.9720000000000001,0.002,-0.001
National,2014-04-01,214000.0,0.027000000000000003,0.079,446515.0,0.131,-0.035,720861.0,0.11800000000000001,0.043,1903597.0,0.038,0.025,59,-12,-1,0.975,0.003,-0.002
National,2014-05-01,221000.0,0.028999999999999998,0.061,510304.0,0.14300000000000002,-0.051,746584.0,0.036000000000000004,0.055,1978676.0,0.039,0.027000000000000003,52,-7,-3,0.9770000000000001,0.001,-0.003
National,2014-06-01,229000.0,0.037000000000000005,0.05,545736.0,0.069,0.032,703267.0,-0.057999999999999996,0.078,2056717.0,0.039,0.044000000000000004,48,-4,-4,0.978,0.001,-0.003
National,2014-07-01,228000.0,-0.002,0.046,537376.0,-0.015,-0.025,676274.0,-0.038,0.036000000000000004,2131498.0,0.036000000000000004,0.066,46,-2,-7,0.9770000000000001,-0.001,-0.003
National,2014-08-01,226000.0,-0.012,0.047,517576.0,-0.037000000000000005,-0.043,602399.0,-0.109,-0.019,2120659.0,-0.005,0.06,51,5,-3,0.975,-0.002,-0.003
National,2014-09-01,219000.0,-0.031000000000000003,0.045,472748.0,-0.087,0.049,576145.0,-0.044000000000000004,0.043,2102784.0,-0.008,0.049,56,6,-1,0.973,-0.002,-0.003
National,2014-10-01,219000.0,0.0,0.048,483078.0,0.022000000000000002,0.073,558673.0,-0.03,0.027999999999999997,2041554.0,-0.028999999999999998,0.032,61,5,1,0.971,-0.001,-0.003
National,2014-11-01,219000.0,0.003,0.061,380245.0,-0.21300000000000002,-0.015,399312.0,-0.28500000000000003,-0.019,1915883.0,-0.062000000000000006,0.021,64,3,0,0.971,-0.001,-0.001
National,2014-12-01,221000.0,0.01,0.053,447642.0,0.177,0.09,328941.0,-0.17600000000000002,0.068,1743056.0,-0.09,0.019,68,4,-1,0.97,-0.001,-0.001
National,2015-01-01,212000.0,-0.040999999999999995,0.066,311272.0,-0.305,0.02,514232.0,0.563,0.078,1747168.0,0.002,0.012,76,8,1,0.9670000000000001,-0.002,-0.001
National,2015-02-01,214000.0,0.008,0.067,337472.0,0.084,0.079,526223.0,0.023,0.066,1759494.0,0.006999999999999999,-0.001,76,0,-2,0.97,0.003,0.0
National,2015-03-01,224000.0,0.048,0.07400000000000001,461113.0,0.36600000000000005,0.168,706317.0,0.342,0.095,1822091.0,0.036000000000000004,-0.006999999999999999,67,-9,-4,0.975,0.004,0.003
National,2015-04-01,231000.0,0.028999999999999998,0.076,498979.0,0.08199999999999999,0.11699999999999999,795746.0,0.127,0.10400000000000001,1936506.0,0.063,0.017,55,-12,-4,0.978,0.003,0.003
