Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
National,2014-01-01,173000.0,-0.073,0.132,36650.0,-0.22399999999999998,0.006,61139.0,0.624,-0.011000000000000001,197637.0,0.036000000000000004,0.001,72.0,9.0,-5.0,0.966,-0.002,-0.001
National,2014-02-01,175000.0,0.009000000000000001,0.166,38109.0,0.04,-0.017,62392.0,0.02,0.016,204458.0,0.035,0.005,71.0,-1.0,-1.0,0.9690000000000001,0.003,0.0
National,2014-03-01,184000.0,0.055,0.138,47830.0,0.255,-0.06,78292.0,0.255,0.125,214259.0,0.048,0.034,63.0,-8.0,-5.0,0.97,0.001,-0.001
National,2014-04-01,189000.0,0.025,0.135,55788.0,0.166,0.012,81891.0,0.046,0.057,217309.0,0.013999999999999999,0.017,54.0,-9.0,-8.0,0.973,0.002,0.0
National,2014-05-01,192000.0,0.016,0.10800000000000001,61369.0,0.1,-0.038,81229.0,-0.008,0.064,219888.0,0.012,0.019,49.0,-5.0,-6.0,0.975,0.002,-0.001
National,2014-06-01,196000.0,0.018000000000000002,0.066,63697.0,0.038,0.06,76571.0,-0.057,0.06,222939.0,0.013999999999999999,0.03,48.0,-1.0,-6.0,0.975,-0.001,-0.004
National,2014-07-01,192000.0,-0.02,0.040999999999999995,62445.0,-0.02,-0.012,73405.0,-0.040999999999999995,0.013000000000000001,226474.0,0.016,0.046,48.0,0.0,-9.0,0.9740000000000001,0.0,-0.004
National,2014-08-01,194000.0,0.013000000000000001,0.04,58848.0,-0.057999999999999996,-0.076,67540.0,-0.08,-0.017,223505.0,-0.013000000000000001,0.051,51.0,3.0,-3.0,0.9720000000000001,-0.002,-0.005
National,2014-09-01,190000.0,-0.022000000000000002,0.045,55623.0,-0.055,0.044000000000000004,68505.0,0.013999999999999999,0.037000000000000005,223712.0,0.001,0.037000000000000005,55.0,5.0,-2.0,0.97,-0.002,-0.004
National,2014-10-01,191000.0,0.008,0.053,57546.0,0.035,0.078,66415.0,-0.031000000000000003,0.03,220006.0,-0.017,0.021,58.0,2.0,0.0,0.97,-0.001,-0.004
National,2014-11-01,191000.0,-0.002,0.062000000000000006,42630.0,-0.259,-0.042,48276.0,-0.273,-0.005,209743.0,-0.047,0.013999999999999999,58.0,0.0,-1.0,0.9690000000000001,-0.001,-0.004
National,2014-12-01,193000.0,0.01,0.032,50781.0,0.19100000000000003,0.075,39174.0,-0.189,0.040999999999999995,191862.0,-0.085,0.006,62.0,5.0,-1.0,0.9670000000000001,-0.002,-0.002
National,2015-01-01,189000.0,-0.019,0.092,36674.0,-0.278,0.001,64529.0,0.647,0.055,198046.0,0.032,0.002,70.0,8.0,-3.0,0.965,-0.002,-0.001
National,2015-02-01,183000.0,-0.03,0.049,39626.0,0.081,0.04,64988.0,0.006999999999999999,0.042,202396.0,0.022000000000000002,-0.01,67.0,-3.0,-5.0,0.968,0.003,-0.001
National,2015-03-01,196000.0,0.071,0.065,53997.0,0.363,0.129,84503.0,0.3,0.079,209955.0,0.037000000000000005,-0.02,58.0,-9.0,-5.0,0.9720000000000001,0.004,0.001
National,2015-04-01,199000.0,0.011000000000000001,0.05,59836.0,0.10800000000000001,0.073,88500.0,0.047,0.081,217961.0,0.038,0.003,49.0,-9.0,-5.0,0.9740000000000001,0.003,0.002
National,2015-05-01,204000.0,0.025,0.06,64319.0,0.075,0.048,83614.0,-0.055,0.028999999999999998,221422.0,0.016,0.006999999999999999,47.0,-2.0,-2.0,0.976,0.002,0.001
National,2015-06-01,206000.0,0.012,0.053,71896.0,0.11800000000000001,0.129,82477.0,-0.013999999999999999,0.077,220637.0,-0.004,-0.01,44.0,-3.0,-4.0,0.978,0.002,0.004
National,2015-07-01,208000.0,0.01,0.086,70998.0,-0.012,0.13699999999999998,77552.0,-0.06,0.055999999999999994,216991.0,-0.017,-0.042,45.0,1.0,-3.0,0.978,0.0,0.004
