Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
National,2014-01-01,187000.0,-0.057,0.14300000000000002,25256.0,-0.26,0.003,40321.0,0.583,-0.002,124289.0,0.009000000000000001,0.001,62,6.0,-5.0,0.9740000000000001,-0.002,0.001
National,2014-02-01,192000.0,0.031000000000000003,0.14400000000000002,25913.0,0.026000000000000002,-0.002,41659.0,0.033,-0.004,127853.0,0.028999999999999998,0.011000000000000001,64,2.0,-4.0,0.9770000000000001,0.003,0.002
National,2014-03-01,199000.0,0.032,0.10400000000000001,33261.0,0.284,-0.019,55766.0,0.33899999999999997,0.114,134755.0,0.054000000000000006,0.04,57,-7.0,-1.0,0.978,0.001,-0.001
National,2014-04-01,203000.0,0.02,0.09699999999999999,37743.0,0.135,0.006,59795.0,0.07200000000000001,0.05,138750.0,0.03,0.024,47,-10.0,-2.0,0.981,0.003,-0.002
National,2014-05-01,208000.0,0.027000000000000003,0.067,43018.0,0.14,-0.024,60357.0,0.009000000000000001,0.079,142574.0,0.027999999999999997,0.024,42,-5.0,-2.0,0.981,0.0,-0.003
National,2014-06-01,213000.0,0.022000000000000002,0.033,45130.0,0.049,0.035,55997.0,-0.07200000000000001,0.107,148915.0,0.044000000000000004,0.065,40,-2.0,-1.0,0.981,0.0,-0.005
National,2014-07-01,210000.0,-0.011000000000000001,0.038,43540.0,-0.035,-0.01,55633.0,-0.006,0.091,155280.0,0.043,0.105,39,-1.0,-4.0,0.98,-0.001,-0.006
National,2014-08-01,208000.0,-0.011000000000000001,0.04,42024.0,-0.035,-0.036000000000000004,49353.0,-0.113,0.018000000000000002,154228.0,-0.006999999999999999,0.106,45,5.0,0.0,0.9790000000000001,-0.001,-0.004
National,2014-09-01,200000.0,-0.037000000000000005,0.023,38684.0,-0.079,0.043,49643.0,0.006,0.055999999999999994,156211.0,0.013000000000000001,0.099,49,4.0,1.0,0.9770000000000001,-0.002,-0.005
National,2014-10-01,203000.0,0.013000000000000001,0.03,39908.0,0.032,0.084,48233.0,-0.027999999999999997,0.045,153201.0,-0.019,0.075,53,4.0,3.0,0.976,-0.001,-0.005
National,2014-11-01,208000.0,0.023,0.054000000000000006,31081.0,-0.22100000000000003,-0.031000000000000003,34135.0,-0.292,-0.005,143849.0,-0.061,0.061,55,2.0,3.0,0.976,0.001,-0.003
National,2014-12-01,210000.0,0.013999999999999999,0.062000000000000006,38360.0,0.23399999999999999,0.12400000000000001,29673.0,-0.131,0.165,131831.0,-0.084,0.07,58,4.0,2.0,0.976,-0.001,0.0
National,2015-01-01,195000.0,-0.071,0.047,26221.0,-0.316,0.038,43848.0,0.478,0.087,132051.0,0.002,0.062000000000000006,68,10.0,6.0,0.971,-0.004,-0.002
National,2015-02-01,202000.0,0.035,0.051,28341.0,0.081,0.094,45931.0,0.048,0.10300000000000001,133123.0,0.008,0.040999999999999995,67,-1.0,3.0,0.975,0.004,-0.002
National,2015-03-01,208000.0,0.027000000000000003,0.046,39508.0,0.394,0.188,59664.0,0.299,0.07,137298.0,0.031000000000000003,0.019,58,-9.0,0.0,0.978,0.003,0.0
National,2015-04-01,211000.0,0.018000000000000002,0.044000000000000004,43091.0,0.091,0.142,67123.0,0.125,0.12300000000000001,144088.0,0.049,0.038,48,-9.0,1.0,0.9820000000000001,0.004,0.001
National,2015-05-01,221000.0,0.044000000000000004,0.061,47594.0,0.10400000000000001,0.106,63894.0,-0.048,0.059000000000000004,149057.0,0.034,0.045,38,-10.0,-4.0,0.9840000000000001,0.002,0.003
National,2015-06-01,226000.0,0.023,0.062000000000000006,53951.0,0.134,0.195,61007.0,-0.045,0.08900000000000001,150025.0,0.006,0.006999999999999999,37,0.0,-3.0,0.9840000000000001,0.0,0.003
National,2015-07-01,223000.0,-0.013000000000000001,0.06,52011.0,-0.036000000000000004,0.195,58104.0,-0.048,0.044000000000000004,150054.0,0.0,-0.034,40,2.0,0.0,0.983,0.0,0.003
National,2015-08-01,220000.0,-0.015,0.055,46539.0,-0.105,0.107,53860.0,-0.073,0.091,149068.0,-0.006999999999999999,-0.033,41,2.0,-4.0,0.9820000000000001,-0.001,0.002
National,2015-09-01,215000.0,-0.02,0.07400000000000001,43766.0,-0.06,0.131,52517.0,-0.025,0.057999999999999996,149775.0,0.005,-0.040999999999999995,45,4.0,-4.0,0.981,0.0,0.005
National,2015-10-01,217000.0,0.006,0.067,41915.0,-0.042,0.05,49115.0,-0.065,0.018000000000000002,145578.0,-0.027999999999999997,-0.05,47,2.0,-6.0,0.9790000000000001,-0.002,0.004
National,2015-11-01,221000.0,0.019,0.063,33999.0,-0.189,0.094,37814.0,-0.23,0.10800000000000001,136641.0,-0.061,-0.05,49,2.0,-6.0,0.978,-0.001,0.002
National,2015-12-01,220000.0,-0.004,0.044000000000000004,43170.0,0.27,0.125,29879.0,-0.21,0.006999999999999999,122030.0,-0.107,-0.07400000000000001,51,3.0,-7.0,0.978,0.0,0.003
National,2016-01-01,206000.0,-0.064,0.052000000000000005,29388.0,-0.319,0.121,42210.0,0.413,-0.037000000000000005,121340.0,-0.006,-0.081,59,7.0,-9.0,0.9770000000000001,-0.002,0.005
National,2016-02-01,212000.0,0.032,0.049,32323.0,0.1,0.14,50128.0,0.188,0.091,123863.0,0.021,-0.07,60,1.0,-7.0,0.9770000000000001,0.001,0.002
National,2016-03-01,220000.0,0.035,0.057,42165.0,0.304,0.067,66716.0,0.331,0.11800000000000001,131326.0,0.06,-0.043,53,-7.0,-5.0,0.9820000000000001,0.005,0.004
National,2016-04-01,226000.0,0.028999999999999998,0.068,46014.0,0.091,0.068,66990.0,0.004,-0.002,135896.0,0.035,-0.057,41,-12.0,-7.0,0.985,0.003,0.003
National,2016-05-01,233000.0,0.031000000000000003,0.055,51956.0,0.129,0.092,64139.0,-0.043,0.004,137388.0,0.011000000000000001,-0.078,35,-6.0,-3.0,0.986,0.002,0.003
National,2016-06-01,233000.0,0.001,0.032,58278.0,0.122,0.08,63709.0,-0.006999999999999999,0.044000000000000004,139657.0,0.017,-0.069,33,-2.0,-4.0,0.9870000000000001,0.0,0.003
National,2016-07-01,232000.0,-0.006999999999999999,0.039,49743.0,-0.146,-0.044000000000000004,57663.0,-0.095,-0.008,140944.0,0.009000000000000001,-0.061,35,2.0,-5.0,0.986,0.0,0.003
National,2016-08-01,230000.0,-0.009000000000000001,0.045,52854.0,0.063,0.136,55916.0,-0.03,0.038,137419.0,-0.025,-0.078,37,2.0,-4.0,0.986,-0.001,0.004
National,2016-09-01,232000.0,0.01,0.077,48006.0,-0.092,0.09699999999999999,54331.0,-0.027999999999999997,0.035,138782.0,0.01,-0.073,40,3.0,-5.0,0.985,-0.001,0.003
