Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
 National,January 2014,$173K,-7.3%,13.2%,"36,650",-22.4%,0.6%,"61,139",62.4%,-1.1%,"197,637",3.6%,0.1%,72,9,-5,96.6%,-0.2%,-0.1%
,February 2014,$175K,0.9%,16.6%,"38,109",4.0%,-1.7%,"62,392",2.0%,1.6%,"204,458",3.5%,0.5%,71,-1,-1,96.9%,0.3%,0.0%
,March 2014,$184K,5.5%,13.8%,"47,830",25.5%,-6.0%,"78,292",25.5%,12.5%,"214,259",4.8%,3.4%,63,-8,-5,97.0%,0.1%,-0.1%
,April 2014,$189K,2.5%,13.5%,"55,788",16.6%,1.2%,"81,891",4.6%,5.7%,"217,309",1.4%,1.7%,54,-9,-8,97.3%,0.2%,0.0%
,May 2014,$192K,1.6%,10.8%,"61,369",10.0%,-3.8%,"81,229",-0.8%,6.4%,"219,888",1.2%,1.9%,49,-5,-6,97.5%,0.2%,-0.1%
,June 2014,$196K,1.8%,6.6%,"63,697",3.8%,6.0%,"76,571",-5.7%,6.0%,"222,939",1.4%,3.0%,48,-1,-6,97.5%,-0.1%,-0.4%
,July 2014,$192K,-2.0%,4.1%,"62,445",-2.0%,-1.2%,"73,405",-4.1%,1.3%,"226,474",1.6%,4.6%,48,0,-9,97.4%,0.0%,-0.4%
,August 2014,$194K,1.3%,4.0%,"58,848",-5.8%,-7.6%,"67,540",-8.0%,-1.7%,"223,505",-1.3%,5.1%,51,3,-3,97.2%,-0.2%,-0.5%
,September 2014,$190K,-2.2%,4.5%,"55,623",-5.5%,4.4%,"68,505",1.4%,3.7%,"223,712",0.1%,3.7%,55,5,-2,97.0%,-0.2%,-0.4%
,October 2014,$191K,0.8%,5.3%,"57,546",3.5%,7.8%,"66,415",-3.1%,3.0%,"220,006",-1.7%,2.1%,58,2,0,97.0%,-0.1%,-0.4%
