Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
 National,January 2014,$187K,-5.7%,14.3%,"25,256",-26.0%,0.3%,"40,321",58.3%,-0.2%,"124,289",0.9%,0.1%,62,6,-5,97.4%,-0.2%,0.1%
,February 2014,$192K,3.1%,14.4%,"25,913",2.6%,-0.2%,"41,659",3.3%,-0.4%,"127,853",2.9%,1.1%,64,2,-4,97.7%,0.3%,0.2%
,March 2014,$199K,3.2%,10.4%,"33,261",28.4%,-1.9%,"55,766",33.9%,11.4%,"134,755",5.4%,4.0%,57,-7,-1,97.8%,0.1%,-0.1%
,April 2014,$203K,2.0%,9.7%,"37,743",13.5%,0.6%,"59,795",7.2%,5.0%,"138,750",3.0%,2.4%,47,-10,-2,98.1%,0.3%,-0.2%
,May 2014,$208K,2.7%,6.7%,"43,018",14.0%,-2.4%,"60,357",0.9%,7.9%,"142,574",2.8%,2.4%,42,-5,-2,98.1%,0.0%,-0.3%
,June 2014,$213K,2.2%,3.3%,"45,130",4.9%,3.5%,"55,997",-7.2%,10.7%,"148,915",4.4%,6.5%,40,-2,-1,98.1%,0.0%,-0.5%
,July 2014,$210K,-1.1%,3.8%,"43,540",-3.5%,-1.0%,"55,633",-0.6%,9.1%,"155,280",4.3%,10.5%,39,-1,-4,98.0%,-0.1%,-0.6%
,August 2014,$208K,-1.1%,4.0%,"42,024",-3.5%,-3.6%,"49,353",-11.3%,1.8%,"154,228",-0.7%,10.6%,45,5,0,97.9%,-0.1%,-0.4%
,September 2014,$200K,-3.7%,2.3%,"38,684",-7.9%,4.3%,"49,643",0.6%,5.6%,"156,211",1.3%,9.9%,49,4,1,97.7%,-0.2%,-0.5%
,October 2014,$203K,1.3%,3.0%,"39,908",3.2%,8.4%,"48,233",-2.8%,4.5%,"153,201",-1.9%,7.5%,53,4,3,97.6%,-0.1%,-0.5%
,November 2014,$208K,2.3%,5.4%,"31,081",-22.1%,-3.1%,"34,135",-29.2%,-0.5%,"143,849",-6.1%,6.1%,55,2,3,97.6%,0.1%,-0.3%
,December 2014,$210K,1.4%,6.2%,"38,360",23.4%,12.4%,"29,673",-13.1%,16.5%,"131,831",-8.4%,7.0%,58,4,2,97.6%,-0.1%,0.0%
,January 2015,$195K,-7.1%,4.7%,"26,221",-31.6%,3.8%,"43,848",47.8%,8.7%,"132,051",0.2%,6.2%,68,10,6,97.1%,-0.4%,-0.2%
,February 2015,$202K,3.5%,5.1%,"28,341",8.1%,9.4%,"45,931",4.8%,10.3%,"133,123",0.8%,4.1%,67,-1,3,97.5%,0.4%,-0.2%
,March 2015,$208K,2.7%,4.6%,"39,508",39.4%,18.8%,"59,664",29.9%,7.0%,"137,298",3.1%,1.9%,58,-9,0,97.8%,0.3%,0.0%
,April 2015,$211K,1.8%,4.4%,"43,091",9.1%,14.2%,"67,123",12.5%,12.3%,"144,088",4.9%,3.8%,48,-9,1,98.2%,0.4%,0.1%
,May 2015,$221K,4.4%,6.1%,"47,594",10.4%,10.6%,"63,894",-4.8%,5.9%,"149,057",3.4%,4.5%,38,-10,-4,98.4%,0.2%,0.3%
,June 2015,$226K,2.3%,6.2%,"53,951",13.4%,19.5%,"61,007",-4.5%,8.9%,"150,025",0.6%,0.7%,37,0,-3,98.4%,0.0%,0.3%
,July 2015,$223K,-1.3%,6.0%,"52,011",-3.6%,19.5%,"58,104",-4.8%,4.4%,"150,054",0.0%,-3.4%,40,2,0,98.3%,0.0%,0.3%
,August 2015,$220K,-1.5%,5.5%,"46,539",-10.5%,10.7%,"53,860",-7.3%,9.1%,"149,068",-0.7%,-3.3%,41,2,-4,98.2%,-0.1%,0.2%
,September 2015,$215K,-2.0%,7.4%,"43,766",-6.0%,13.1%,"52,517",-2.5%,5.8%,"149,775",0.5%,-4.1%,45,4,-4,98.1%,0.0%,0.5%
